Company,Indicator,Context,Metric,Metric Unit,Latest Year
Accelerate Property Fund LTD,Material,"Integrated report 2023 65 Our company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statements Accelerate Property Fund 64T raining and future skills  We provide skills development and training for our employees on a regular basis, with a focus on building  capabilities that support our strategy and promote sustainability.",64,T,2023
Accelerate Property Fund LTD,Waste,"Our environmental stewardship journey over the past three years: Energy, water and waste management 2023 2022 2021  Average energy consumption 11,191 kWh per m214,6165 kWh per m215,6065 kWh per m2  Total water consumption 0,038 kℓ per m20,0675 kℓ per m20,0763 kℓ per m2  Waste recycling efforts24,017 tons   per month10,545 tons   per month Not measured Our Portside property is rated by the Green Building Council of South Africa as one of the country’s   five-star green tall buildings.",191,kWh,2023
Accelerate Property Fund LTD,Waste,"Our environmental stewardship journey over the past three years: Energy, water and waste management 2023 2022 2021  Average energy consumption 11,191 kWh per m214,6165 kWh per m215,6065 kWh per m2  Total water consumption 0,038 kℓ per m20,0675 kℓ per m20,0763 kℓ per m2  Waste recycling efforts24,017 tons   per month10,545 tons   per month Not measured Our Portside property is rated by the Green Building Council of South Africa as one of the country’s   five-star green tall buildings.",6165,kWh,2023
Accelerate Property Fund LTD,Waste,"Our environmental stewardship journey over the past three years: Energy, water and waste management 2023 2022 2021  Average energy consumption 11,191 kWh per m214,6165 kWh per m215,6065 kWh per m2  Total water consumption 0,038 kℓ per m20,0675 kℓ per m20,0763 kℓ per m2  Waste recycling efforts24,017 tons   per month10,545 tons   per month Not measured Our Portside property is rated by the Green Building Council of South Africa as one of the country’s   five-star green tall buildings.",6065,kWh,2023
Accelerate Property Fund LTD,Waste,"Our environmental stewardship journey over the past three years: Energy, water and waste management 2023 2022 2021  Average energy consumption 11,191 kWh per m214,6165 kWh per m215,6065 kWh per m2  Total water consumption 0,038 kℓ per m20,0675 kℓ per m20,0763 kℓ per m2  Waste recycling efforts24,017 tons   per month10,545 tons   per month Not measured Our Portside property is rated by the Green Building Council of South Africa as one of the country’s   five-star green tall buildings.",17,tons,2023
Accelerate Property Fund LTD,Waste,"Our environmental stewardship journey over the past three years: Energy, water and waste management 2023 2022 2021  Average energy consumption 11,191 kWh per m214,6165 kWh per m215,6065 kWh per m2  Total water consumption 0,038 kℓ per m20,0675 kℓ per m20,0763 kℓ per m2  Waste recycling efforts24,017 tons   per month10,545 tons   per month Not measured Our Portside property is rated by the Green Building Council of South Africa as one of the country’s   five-star green tall buildings.",545,tons,2023
Accelerate Property Fund LTD,Material,"Floor Management Office Cnr of Willow Ave and Cedar Road Fourways 2055Integrated report 2023 117Our company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statements Accelerate Property Fund 116Note(s)2023  R’0002022 R’000 Assets Non-current assets Property, plant and equipment 2 272 330 Right-of-use assets 3 810 1 059 Investment property 4 8 909 411 9 983 936 Derivatives 8 36 682 38 693 8 947 175 10 024 018 Current assets Trade and other receivables 7 1 011 337 853 479 Derivatives 8 52 855 3 848 Cash and cash equivalents 9 38 916 47 868 1 103 108 905 195 Non-current assets held for sale 4 292 400 147 000 T otal assets 10 342 683 11 076 213 Equity and liabilities Equity Ordinary share capital 10 5 186 274 4 948 866 Other reserves (3 282) 13 821 Retained income 170 259 985 285 5 353 251 5 947 972 Liabilities Non-current liabilities Derivatives 8 1 714 763 Finance lease liabilities 3 559 758 Borrowings 11 2 059 866 3 926 441 2 062 139 3 927 962 Current liabilities Trade and other payables",0,T,2023
Accelerate Property Fund LTD,Material,"Consolidated statement of profit or loss  and other comprehensive income  for the year ended 31 March 2023Integrated report 2023 119Our company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statements Accelerate Property Fund 118Consolidated statement of changes in equity   for the year ended 31 March 2023 Share capital  R’000Foreign  currency translation reserve R’000Share incentive reserve  R’000Total  reserves  R’000Retained  income R’000Total  attributable  to equity  holders of  the group/ company  R’000Non- controlling  interest  R’000Total equity  R’000 Balance at 1 April 2021 4 937 567 107 565 23 928 131 493 923 301 5 992 361 27 150 6 019 511 Profit for the year – – – – 61 984 61 984 (1 376) 60 608 Other comprehensive income – (106 875) – (106 875) – (106 875) 8 731 (98 144) T otal comprehensive loss for the year – (106 875) – (106 875) 61 984 (44 891) 7 355 (37 536) Transfer between reserves 11 299 – (11 299) (11 299) – – – – Conditional share plan reserve (note 30) – – 502 502 – 502 – 502 Acquisition of non-controlling interest in Accelerate Property Fund Europe B.V. – – – – – – (34 505) (34 505) T otal contributions by and distributions to owners  of company recognised  directly in equity 11 299 – (10 797) (10 797) – 502 (34 505) (34 003) Balance at 1 April 2022 4 948 866 690 13 131 13 821 985 285 5 947 972 – 5 947 972 Loss for the year – – – – (601 342) (601 342) – (601 342) Other comprehensive income – (3 972) – (3 972) – (3 972) – (3 972) T otal comprehensive loss for the year – (3 972) – (3 972) (601 342) (605 314) – (605 314) Issue of shares (in terms of conditional share plan) 17 131 – (17 131) (17 131) – – – – Conditional share plan reserve – – 4 000 4 000 – 4 000 – 4 000 Distribution paid - Cash – – – – (38 157) (38 157) (38 157) Issue of shares - Dividend reinvestment 175 527 – – – (175 527) – – – Issue of shares - Rights Issue 44 750 – – – – 44 750 – 44 750 T otal contributions by and distributions to owners  of company recognised  directly in equity 237 408 – (13 131) (13 131) (213 684) 10 593 – 10 593 Balance at 31 March 2023 5 186 274 (3 282) – (3 282) 170 259 5 353 251 – 5 353 251 Note(s) 10 10Accelerate Property Fund Integrated report 2023 121 120Our company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statementsNote(s)2023  R’0002022 R’000 Cash flows from operating activities Cash generated from operations 23 419 812 508 672 Finance income received 2 526 3 469 Tax paid 24 – (98) Distribution paid (38 157) – Net cash from operating activities 384 181 512 043 Cash flows from investing activities Purchase of property, plant and equipment 2 (68) (",750,T,2023
Accelerate Property Fund LTD,Material,Segment profit  278 878  (5 533) (660)  272 685  Other operating expenses (51 261)  –   –  (51 261) Other income  6 854  –   –  6 854  Fair value gain on financial instruments  137 423  –   –   137 423  Unrealised losses (21 262)  –   –  (21 262) Realisation of foreign currency translation reserve    61 761  20 587  82 348  Finance income   43 970  –   –   43 970  Finance cost   (391 526) (13 893) (4 632)  (410 051) Taxation  (98)  –   –  (98) Profit after tax 2 978  42 335  15 295  60 608  For the year ended 31 March 2023  South Africa  Statement of financial position extracts at 31 March 2023 Investment property balance 1 April 2022  10 130 936  Capitalised costs 50 708 Disposals/classified as held for sale  (439 100) Investment property held for sale  292 400  Straight-line rental revenue adjustment  (23 950) Fair value adjustments  (809 183) Investment property at 31 March 2023  9 201 811  Other assets not managed on a segmental basis Derivative financial instruments  89 537  Right-of-use asset  810  Equipment  272  Current assets  1 050 253  T otal assets  10 342 683 For the year ended 31 March 2022  South Africa  Austria  Slovakia  T otal  Statement of financial position extracts at 31 March 2022 Investment property balance 1 April 2021  10 206 399 1 172 603  382 494  11 761 496  Capitalised costs  346 627  –   –   346 627  Disposals/classified as held for sale  (255 501) (1 038 486)  (337 826) (1 631 813) Investment property held for sale  147 000  –   –   147 000  Straight-line rental revenue adjustment  50 249  –   –   50 249  Foreign exchange losses  –  (85 454) (28 447)  (113 901) Fair value adjustments (63 838) (48 663) (16 221)  (128 722) Fourways Mall rebuilt fair value adjustment  (300 000)    (300 000) Investment property at 31 March 2022  10 130 936  –   –   10 130 936  Other assets not managed on a segmental basis      Derivative financial instruments     42 541  Right-of-use asset    1 059  Equipment     330  Current assets     901 347  T otal assets     11 076 213 Integrated report 2023 127Our company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statements Accelerate Property Fund 126Accounting policies  1.,253,T,2023
Accelerate Property Fund LTD,Material,Segment profit  278 878  (5 533) (660)  272 685  Other operating expenses (51 261)  –   –  (51 261) Other income  6 854  –   –  6 854  Fair value gain on financial instruments  137 423  –   –   137 423  Unrealised losses (21 262)  –   –  (21 262) Realisation of foreign currency translation reserve    61 761  20 587  82 348  Finance income   43 970  –   –   43 970  Finance cost   (391 526) (13 893) (4 632)  (410 051) Taxation  (98)  –   –  (98) Profit after tax 2 978  42 335  15 295  60 608  For the year ended 31 March 2023  South Africa  Statement of financial position extracts at 31 March 2023 Investment property balance 1 April 2022  10 130 936  Capitalised costs 50 708 Disposals/classified as held for sale  (439 100) Investment property held for sale  292 400  Straight-line rental revenue adjustment  (23 950) Fair value adjustments  (809 183) Investment property at 31 March 2023  9 201 811  Other assets not managed on a segmental basis Derivative financial instruments  89 537  Right-of-use asset  810  Equipment  272  Current assets  1 050 253  T otal assets  10 342 683 For the year ended 31 March 2022  South Africa  Austria  Slovakia  T otal  Statement of financial position extracts at 31 March 2022 Investment property balance 1 April 2021  10 206 399 1 172 603  382 494  11 761 496  Capitalised costs  346 627  –   –   346 627  Disposals/classified as held for sale  (255 501) (1 038 486)  (337 826) (1 631 813) Investment property held for sale  147 000  –   –   147 000  Straight-line rental revenue adjustment  50 249  –   –   50 249  Foreign exchange losses  –  (85 454) (28 447)  (113 901) Fair value adjustments (63 838) (48 663) (16 221)  (128 722) Fourways Mall rebuilt fair value adjustment  (300 000)    (300 000) Investment property at 31 March 2022  10 130 936  –   –   10 130 936  Other assets not managed on a segmental basis      Derivative financial instruments     42 541  Right-of-use asset    1 059  Equipment     330  Current assets     901 347  T otal assets     11 076 213 Integrated report 2023 127Our company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statements Accelerate Property Fund 126Accounting policies  1.,347,T,2023
Acsion,Environment,Number of bursaries awarded 7 Number of schoolchildren assisted with school funding 18Natural capital Natural capital consists of environmental resources we use to  create value.,7,Number,
Acsion,Energy,"•Our installed photovoltaic (“PV”) capacity across the South African  portfolio generates over 1 110 000 kWh of energy per month,  contributing to our objective of reducing our carbon emissions.",0,kWh,
Acsion,Energy,"We are planning to increase our current generation capacity  from 11 mWp to 20 mWp over the next 18 months, along with  20 mWh battery energy storage, system (""BESS"") which will  equate to 28 million kWh per annum of solar energy production.",20,mWh,
Acsion,Energy,We are excited about the positive impacts the  planned solar PV expansion of an additional 13 296 kWp with  storage capacity of 25 400 kWh will have on the environment  and energy security of the group.,400,kWh,
Adcock Ingram,Waste,"4CAPITAL OUTCOMES FOR STAKEHOLDERS OUTCOMES R1 233 million  of intangible assets R8.4 million  Corporate Social Responsibility  (CSR) spend R20.2 million  of interest-free   ESD loans granted R148 million  capex (maintenance   and expansion)  Electricity usage:  56 388 770  kWh Water usage: 399 344 kl  Industrial coal usage: 3 821 tonnes  INTENDED UNINTENDEDINTELLECTUAL CAPITALSOCIAL AND RELATIONSHIP CAPITAL MANUFACTURED CAPITAL NATURAL CAPITAL R324 million  in taxes paid R376 million  in dividends paid R59 million  in interest paidFINANCIAL CAPITAL R1 505 million  in remuneration paid to  employees, including share-based payments  R56 million  spent on training HUMAN CAPITAL A diversified basket of  products spanning many  therapeutic areasVarious waste products  form part of the unintended   output  of the Group’s operations • 672 tonnes  of non-hazardous waste to landfill • 3 501 tonnes  of non-hazardous waste recycled • 84% recycled • Actively managing the risk universe and identifying opportunities (page 40 ).",770,kWh,
Adcock Ingram,Waste,"4CAPITAL OUTCOMES FOR STAKEHOLDERS OUTCOMES R1 233 million  of intangible assets R8.4 million  Corporate Social Responsibility  (CSR) spend R20.2 million  of interest-free   ESD loans granted R148 million  capex (maintenance   and expansion)  Electricity usage:  56 388 770  kWh Water usage: 399 344 kl  Industrial coal usage: 3 821 tonnes  INTENDED UNINTENDEDINTELLECTUAL CAPITALSOCIAL AND RELATIONSHIP CAPITAL MANUFACTURED CAPITAL NATURAL CAPITAL R324 million  in taxes paid R376 million  in dividends paid R59 million  in interest paidFINANCIAL CAPITAL R1 505 million  in remuneration paid to  employees, including share-based payments  R56 million  spent on training HUMAN CAPITAL A diversified basket of  products spanning many  therapeutic areasVarious waste products  form part of the unintended   output  of the Group’s operations • 672 tonnes  of non-hazardous waste to landfill • 3 501 tonnes  of non-hazardous waste recycled • 84% recycled • Actively managing the risk universe and identifying opportunities (page 40 ).",821,tonnes,
Adcock Ingram,Waste,"4CAPITAL OUTCOMES FOR STAKEHOLDERS OUTCOMES R1 233 million  of intangible assets R8.4 million  Corporate Social Responsibility  (CSR) spend R20.2 million  of interest-free   ESD loans granted R148 million  capex (maintenance   and expansion)  Electricity usage:  56 388 770  kWh Water usage: 399 344 kl  Industrial coal usage: 3 821 tonnes  INTENDED UNINTENDEDINTELLECTUAL CAPITALSOCIAL AND RELATIONSHIP CAPITAL MANUFACTURED CAPITAL NATURAL CAPITAL R324 million  in taxes paid R376 million  in dividends paid R59 million  in interest paidFINANCIAL CAPITAL R1 505 million  in remuneration paid to  employees, including share-based payments  R56 million  spent on training HUMAN CAPITAL A diversified basket of  products spanning many  therapeutic areasVarious waste products  form part of the unintended   output  of the Group’s operations • 672 tonnes  of non-hazardous waste to landfill • 3 501 tonnes  of non-hazardous waste recycled • 84% recycled • Actively managing the risk universe and identifying opportunities (page 40 ).",672,tonnes,
Adcock Ingram,Waste,"4CAPITAL OUTCOMES FOR STAKEHOLDERS OUTCOMES R1 233 million  of intangible assets R8.4 million  Corporate Social Responsibility  (CSR) spend R20.2 million  of interest-free   ESD loans granted R148 million  capex (maintenance   and expansion)  Electricity usage:  56 388 770  kWh Water usage: 399 344 kl  Industrial coal usage: 3 821 tonnes  INTENDED UNINTENDEDINTELLECTUAL CAPITALSOCIAL AND RELATIONSHIP CAPITAL MANUFACTURED CAPITAL NATURAL CAPITAL R324 million  in taxes paid R376 million  in dividends paid R59 million  in interest paidFINANCIAL CAPITAL R1 505 million  in remuneration paid to  employees, including share-based payments  R56 million  spent on training HUMAN CAPITAL A diversified basket of  products spanning many  therapeutic areasVarious waste products  form part of the unintended   output  of the Group’s operations • 672 tonnes  of non-hazardous waste to landfill • 3 501 tonnes  of non-hazardous waste recycled • 84% recycled • Actively managing the risk universe and identifying opportunities (page 40 ).",501,tonnes,
Adcock Ingram,Water,The split is as follows: Adcock Ingram 41% Third parties 59%  NATURAL CAPITAL Purchased by Plush facility:  •   796 kl of water •   123 662 kWh of electricity  SOCIAL AND RELATIONSHIP CAPITAL Memberships include: •   Pharmaceuticals Made in South Africa (PHARMISA);  •   Cosmetics Toiletries & Fragrances Association (CTFA); •   Aerosol Manufacturers Association of South Africa; and •   Consumer Goods Council of South Africa.,662,kWh,
Adcock Ingram,Water,The split is as follows: Adcock Ingram 85% Third parties 15%  NATURAL CAPITAL Purchased  •   143 700 kl of water •   20 297 000 kWh of electricity  SOCIAL AND RELATIONSHIP CAPITAL Memberships include: •   Pharmaceuticals Made in South Africa (PHARMISA);  Regulatory bodies include: •   The Marketing Code Authority (MCA);  •   The South African Health Products Regulatory Authority (SAHPRA); and •   The South African Pharmacy Council (SAPC).,0,kWh,
Adcock Ingram,Water,The split is as follows: Adcock Ingram 29% Third parties 71%  NATURAL CAPITAL Purchased:  •   42 024 kl of water •   9 994 516 kWh of electricity  SOCIAL AND RELATIONSHIP CAPITAL Memberships include: •   Pharmaceuticals Made in South Africa (PHARMISA);  •   Pharmaceutical Task Group (PTG).,516,kWh,
Adcock Ingram,Water,Aeroton 60% Third parties 40%  NATURAL CAPITAL Purchased:  •   177 239 kl of water •   13 394 620 kWh of electricity •   3 821 tonnes industrial coal  SOCIAL AND RELATIONSHIP CAPITAL Regulatory bodies include: •   The Marketing Code Authority (MCA);  •   The South African Health Products Regulatory Authority (SAHPRA);  and •   The South African Pharmacy Council (SAPC).,620,kWh,
Adcock Ingram,Water,Aeroton 60% Third parties 40%  NATURAL CAPITAL Purchased:  •   177 239 kl of water •   13 394 620 kWh of electricity •   3 821 tonnes industrial coal  SOCIAL AND RELATIONSHIP CAPITAL Regulatory bodies include: •   The Marketing Code Authority (MCA);  •   The South African Health Products Regulatory Authority (SAHPRA);  and •   The South African Pharmacy Council (SAPC).,821,tonnes,
Adcock Ingram,Environment,INTEGRATED REPORT 2023 9Median age 28 years Unemployment rate 32.9%Life expectancy 62.8 years People living with HIV 8.45 million OPERATING ENVIRONMENT OVERVIEW OF SOUTH AFRICA1 Population   60.6 million49% Male 51% FemaleSouth Africa  became a republic  in 1961 and  transitioned to a  constitutional  democracy in 1994,32.9,%,2023
Adcock Ingram,Waste,"Inflation: 4.8%   (August 2023)GDP growth: 0.2%  (Annual figure at the end Q1 2023) KEY SOCIO-ECONOMIC  CHALLENGES High unemployment rate Poverty and inequality Limited access to public services, including  housing, transport, electricity, water, sanitation  and waste removal Immigration, including many illegal immigrants Electricity and water supply disruptions and  deteriorating infrastructure HEALTHCARE Healthcare is administered by the National  Department of Health Around 80% of the population uses public  healthcare, with the more affluent 20% opting  for private healthcare It is estimated that up to 79% of doctors work in  the private sector INTEGRATED REPORT 2023 11OPERATING ENVIRONMENT CONTINUED Extrapolated   from IQVIA TPM MAT  June 20231 Total pharmaceutical market Value: R66.1 billion Growing  +3.5% Volume  +0.8%Public market Value: R11.6 billion Growing  +4.6% Volume  +4.9% Private market Value: R54.5 billion Growing  +3.2% Volume  -2.1% Mix +1.",0.8,%,2023
Adcock Ingram,Environment,6%5.9% 6.0%5.1% 4.7%9.0% 7. 8% 6.2% 4.1% The top 10   corporations  represent  52.3%  (2022: 52.1%) of the total  private market value The top 20   corporations  represent  70.3% (2022: 70.6%) of the total  private market value  The top 5 companies in  the Private OTC marketThe top 5 companies in  the Private market ASPEN ASPENASPEN ASPEN CIPLANOVARTIS CIPLA VIATRIS CIPLA JOHNSON & JOHNSON INOVA PHARMANOVARTISCIPLA SANOFISANOFISANOFI INTEGRATED REPORT 2023 13REGULATORY ENVIRONMENT WHAT STAKEHOLDERS NEED TO UNDERSTAND ABOUT THE  REGULATORY ENVIRONMENT IN WHICH WE OPERATE Various regulatory bodies / regulations inform the way in which a South  African pharmaceutical company conducts business.,6,%,2023
Adcock Ingram,Environment,6%5.9% 6.0%5.1% 4.7%9.0% 7. 8% 6.2% 4.1% The top 10   corporations  represent  52.3%  (2022: 52.1%) of the total  private market value The top 20   corporations  represent  70.3% (2022: 70.6%) of the total  private market value  The top 5 companies in  the Private OTC marketThe top 5 companies in  the Private market ASPEN ASPENASPEN ASPEN CIPLANOVARTIS CIPLA VIATRIS CIPLA JOHNSON & JOHNSON INOVA PHARMANOVARTISCIPLA SANOFISANOFISANOFI INTEGRATED REPORT 2023 13REGULATORY ENVIRONMENT WHAT STAKEHOLDERS NEED TO UNDERSTAND ABOUT THE  REGULATORY ENVIRONMENT IN WHICH WE OPERATE Various regulatory bodies / regulations inform the way in which a South  African pharmaceutical company conducts business.,6,%,2023
